title,release_date,pages,publisher,description,barcode,isbn,edition,category,rating,book_id,image_fpath,summary,price
Bristow's guide to living,01/01/2014,,Macmillan London :,,10052788,333341252,1,Collections,,90748,,,
Ronald Searle's big fat cat book.,01/01/1982,,Macmillan,,10052791,333345630,1,Collections,,90750,,,
The fox and the circus bear,01/01/1982,,Gollancz,,10077048,575029188,1,Collections,,90752,,,
Larry's art collection.,01/01/1977,,A.P. Rushton :,,10104734,860076059,1,Collections,,90753,,,
Rupert and the postman,01/01/1975,,Michael Stanfield Holdings Ltd,,10107467,860320014,1,Collections,,90755,,,
Rupert goes to the moon,01/01/1975,,Michael Stanfield Holdings Ltd,,10107468,860320022,1,Collections,,90756,,,
Rupert and the magician's hat,01/01/1975,,Michael Stanfield Holdings Ltd,,10107469,860320030,1,Collections,,90757,,,
Rupert and the blue mist,01/01/1975,,Michael Stanfield Holdings Ltd,,10107470,860320049,1,Collections,,90758,,,
Rupert's Christmas carols,01/01/1975,,Michael Stanfield Holdings,,10107475,860320103,1,Collections,,90759,,,
Honeysett at home.,01/01/1976,,Dempsey and Squires (Publishers) Ltd,,10108419,860440028,1,Collections,,90761,,,
Cartoon from 'Punch',01/01/1979,,Robson,,10108605,860510891,1,Collections,,90764,,,
The Punch book of dogs,01/01/1984,,Robson,,10108787,860513068,1,Collections,,90767,,,
Court jesting :highlights from the Queen's life through the eyes of her cartoonists,01/01/1986,,Robson,,10108846,860513858,1,Collections,,90768,,,
Fudge and the dragon,01/01/1981,,Savoy in association with New English Library,,10117551,861300076,1,Collections,,90770,,,
Fudge in Bubbleville,01/01/1981,,Savoy in association with New English Library,,10117552,861300106,1,Collections,,90771,,,
Hagar the horrible :'caught in the act!',01/01/1982,,London Editions Magazines,,10120286,861730437,1,Collections,,90777,,,
The red spotted cartoon book :more than 300 cartoons from the 'Daily Mirror'.,01/01/1974,,Wolfe,,10334513,723405980,1,Collections,,90779,,,
The blue spotted cartoon book :more than 300 cartoons from the 'Daily Mirror'.,01/01/1974,,Wolfe,,10334514,723405999,1,Collections,,90780,,,
The green spotted cartoon book :more than 300 cartoons from the 'Daily Mirror'.,01/01/1974,,Wolfe,,10334515,723406006,1,Collections,,90781,,,
The yellow spotted cartoon book :more than 300 cartoons from the 'Daily Mirror'.,01/01/1974,,Wolfe,,10334516,723406014,1,Collections,,90782,,,
The orange spotted cartoon book :more than 300 cartoons from the 'Daily Mirror'.,01/01/1974,,Wolfe,,10334517,723406022,1,Collections,,90783,,,
A thousand more laughs :more than 1000 cartoons from the 'Daily Mirror'.,01/01/1975,,Wolfe,,10334530,723406499,1,Collections,,90786,,,
Another thousand laughs :more than 1000 cartoons from the 'Daily Mirror'.,01/01/1975,,Wolfe,,10334531,723406502,1,Collections,,90787,,,
Weekend book of jokes.,01/01/1984,,Published by Harmondsworth Publications Ltd. for Associated Newspapers Group,,10377613,851442501,1,Collections,,90792,,,
Michael Heath's automata.,01/01/1976,,A.P. Rushton,,10536448,,1,Collections,,90794,,,
Asterix apud Gothos,01/01/1976,,Sumptibus Deltae,,10536762,,1,Collections,,90797,,,
Things,01/01/1977,,J. Hannon and Co.,,10539310,,1,Collections,,90799,,,
The mighty apocalypse.,01/01/1977,,David Hornsby,,10539602,,1,Collections,,90800,,,
The trials of 'Nasty tales'.,01/01/1973,,H. Bunch Associates [for] 'Nasty tales',,10539816,,1,Collections,,90801,,,
Debbie picture story library for girls.,01/01/1978,,D.C. Thomson,,10540615,,1,Collections,,90803,,,
Asterix gladiator,01/01/1978,,Gwasg y Dref Wen,,10542593,,1,Collections,,90808,,,
Asterix ym myddin Cesar,01/01/1978,,Gwasg y Dref Wen,,10542594,,1,Collections,,90809,,,
Y cranc a'r crafangau aur,01/01/1978,,Gwasg y Dref Wen,,10542595,,1,Collections,,90810,,,
Cyfrinach yr 'Uncorn',01/01/1978,,Gwasg y Dref Wen,,10542596,,1,Collections,,90812,,,
Urban paranoia.,01/01/1979,,[Suburban Books],,10545181,,1,Collections,,90813,,,
Hotshot and the shape shifter,01/01/1979,,Hope Press Publications [for the UK Band of Hope Union],,10545424,,1,Collections,,90814,,,
Captain Zeno and the space pirates,01/01/1979,,Hope Press Publications [for the UK Band of Hope Union],,10545425,,1,Collections,,90815,,,
Starblazer :space fiction adventure in pictures.,01/01/1979,,D.C. Thomson,,10545976,,1,Collections,,90818,,,
Asterix yn y Gemau Olympaidd,01/01/1979,,Gwasg y Dref Wen,,10547292,,1,Collections,,90821,,,
Trysor Rackham Goch,01/01/1979,,Gwasg y Dref Wen,,10547293,,1,Collections,,90822,,,
Fat cat,01/01/1979,,Express Newspapers,,10547461,,1,Collections,,90824,,,
Red dagger.,01/01/1979,,D.C. Thomson,,10547462,,1,Collections,,90825,,,
Snowman,01/01/1979,,Arc Publications,,10547836,,1,Collections,,90826,,,
Sporting Sam :cartoons from the 'Sunday express',01/01/1979,,Express Newspapers,,10549502,,1,Collections,,90827,,,
Two-bit tales presents Asterisk Hill,01/01/1979,,Ed Lux,,10549752,,1,Collections,,90828,,,
The galleon :the rising - and sinking - fortunes of a pirate ship,01/01/1980,,Hutchinson,,10550754,91323703,1,Collections,,90831,,,
Red Indians in the desert,01/01/1981,,G. Hendry,,10552303,,1,Collections,,90832,,,
"Letting you know who Kumiko, Taro, Mary, Peter, Fujiko, Kentaro and the big-headed etcetera etcetera people are",01/01/1979,,Barrett,,10552547,,1,Collections,,90833,,,
Teyrnwialen Ottokar,01/01/1980,,Gwasg y Dref Wen,,10553776,,1,Collections,,90834,,,
It's kidstuff,01/01/1981,,ITV Books,,10661361,99272008,1,Collections,,90838,,,
A leg in the wind,01/01/1982,,Arrow,,10661827,99299402,1,Collections,,90840,,,
Christmas already!,01/01/1982,,Arrow,,10661838,99300605,1,Collections,,90841,,,
Captain W.E. Johns' Biggles and the Sargasso Triangle,01/01/1977,,Hodder and Stoughton,,10687304,340226080,1,Collections,,90878,,,
Obelix and Co.,01/01/1979,,Hodder and Stoughton,,10687330,340227095,1,Collections,,90880,,,
"The weather smurfing maching machine / written by Peyo, Y. Delporte and Gos ; [and], Smurf stories / [written by Y. Delporte and Peyo]",01/01/1979,,Hodder and Stoughton,,10687354,340227656,1,Collections,,90886,,,
Asterix and the twelve tasks,01/01/1978,,GeminiScan Publishing Co.,,10687357,340227702,1,Collections,,90887,,,
Asterix and the pirates,01/01/1978,,GeminiScan Publishing Co.,,10687358,340227710,1,Collections,,90888,,,
Gideon,01/01/1979,,Knight Books,,10687433,340229896,1,Collections,,90889,,,
"Smurphony in C ; and, The flying Smurf",01/01/1978,,Hodder and Stoughton,,10687584,340237597,1,Collections,,90895,,,
"The Smurfs and the egg ; and, The hundredth Smurf",01/01/1978,,Hodder and Stoughton,,10687585,340237589,1,Collections,,90896,,,
The Wizard Oz,01/01/1978,,Hodder and Stoughton,,10687586,340233575,1,Collections,,90897,,,
Alice in Wonderland,01/01/1978,,Hodder and Stoughton,,10687587,340233583,1,Collections,,90898,,,
The adventures of Pinocchio,01/01/1978,,Hodder and Stoughton,,10687588,340233591,1,Collections,,90899,,,
Peter Pan,01/01/1978,,Hodder and Stoughton,,10687589,340233605,1,Collections,,90900,,,
Captain W.E. John's Biggles and the tiger,01/01/1981,,Hodder and Stoughton,,10687653,340234881,1,Collections,,90902,,,
Gideon and his friends,01/01/1979,,Knight Books,,10687666,340236035,1,Collections,,90903,,,
Gideon's house,01/01/1979,,Knight Books,,10687667,340236043,1,Collections,,90904,,,
Gideon on the riverbank,01/01/1979,,Knight Books,,10687668,340236051,1,Collections,,90905,,,
"The smurf's apprentice / [by] Peyo ; [and], Smurftraps / [by Peyo & Gos]",01/01/1979,,Hodder and Stoughton,,10687759,340238747,1,Collections,,90907,,,
The astrosmurf,01/01/1979,,Hodder and Stoughton,,10687843,340241314,1,Collections,,90910,,,
The Smurfs and the howlibird,01/01/1980,,Hodder and Stoughton,,10687885,034024240X,1,Collections,,90911,,,
"The Smurfic games ; and, Smurf of one and Smurf a dozen of the other",01/01/1980,,Hodder and Stoughton,,10688023,340246316,1,Collections,,90918,,,
Captain W.E. John's Biggles and the menace from space,01/01/1981,,Hodder and Stoughton,,10688236,340253738,1,Collections,,90922,,,
Crock :you'll pay for this all of you!,01/01/1981,,Coronet,,10688561,340264632,1,Collections,,90926,,,
J.D. Polson and the Dillogate affair,01/01/1981,,Hodder and Stoughton,,10688766,340270683,1,Collections,,90932,,,
Obelix and co.,01/01/1983,,Knight,,10689232,340320591,1,Collections,,90940,,,
The black stallion,01/01/1983,,Hodder and Stoughton,,10689352,340327510,1,Collections,,90942,,,
The black stallion and Satan,01/01/1983,,Hodder and Stoughton,,10689422,340330201,1,Collections,,90943,,,
Yakari and the white buffalo,01/01/1979,,Longman,,10699405,582390192,1,Collections,,90945,,,
More bear,01/01/1975,,Mayflower,,10703758,583125808,1,Collections,,90946,,,
Larry presents The crazy cartoon book.,01/01/1983,,Granada,,10704341,583305423,1,Collections,,90947,,,
What a life _,01/01/1982,,Muller,,10704924,584400004,1,Collections,,90951,,,
The Hamlyn cartoon collection.,01/01/1978,,Hamlyn,,10713454,060032074X,1,Collections,,90953,,,
Dinosaurs,01/01/1979,,Hamlyn,,10713684,600329925,1,Collections,,90955,,,
The great green mouse disaster,01/01/1981,,Andersen Press,,10739722,862640067,1,Collections,,90957,,,
The Kids' guide to parents.,01/01/1982,,Drew,,10740402,862670071,1,Collections,,90958,,,
Straight from the horse's mouth :a hard day's work,01/01/1982,,Merlin,,10743522,863030165,1,Collections,,90959,,,
Great cartoons of the world by the world's foremost cartoonists,01/01/1971,,F. Watts,,10963954,085166167X,1,Collections,,90965,,,
Pardon my prejudice,01/01/1974,,Stainer and Bell,,10965618,852493002,1,Collections,,90966,,,
Victor book for boys.,01/01/1980,,D.C. Thomson,,10998036,,1,Collections,,90969,,,
Warlord book for boys.,01/01/1980,,D.C. Thomson,,10998433,,1,Collections,,90970,,,
Western gunfighters.,01/01/1980,,Marvel Comics,,11172097,,1,Collections,,90977,,,
Werewolf :a chilling excursion into the twilight domain of the man-wolves!.,01/01/1981,,[Marvel Comics],,11172471,,1,Collections,,90978,,,
Everyday adventures,01/01/1981,,[G. Hendry],,11172650,,1,Collections,,90979,,,
Asterix ac anrheg Cesar,01/01/1981,,Gwasg y Dref Wen,,11172729,,1,Collections,,90980,,,
National inverted.,01/01/1981,,[Con Luz],,11172915,,1,Collections,,90982,,,
Bazza pulls it off! :more adventures of Barry McKenzie,01/01/1972,,Private Eye Productions,,11176698,233964126,1,Collections,,90989,,,
Dracula summer special.,01/01/1982,,Marvel Comics,,11177575,,1,Collections,,90991,,,
More?,01/01/1980,,Cambridge Heath,,11178022,,1,Collections,,90992,,,
Tintin a'r dyn-eira dychrynllyd,01/01/1982,,Gwasg y Dref Wen,,11178650,,1,Collections,,90993,,,
Anturiaethau Meri mor leidr,01/01/1982,,Cyhoeddiadau Mei,,11179663,,1,Collections,,90996,,,
Llyfr mawr sboncyn.,01/01/1982,,Cyhoeddiadau Mei,,11180342,,1,Collections,,90997,,,
Sboncyn llyfr mawr.,01/01/1983,,Cyhoeddiadau Mei,,11183627,,1,Collections,,90998,,,
The square egg,01/01/1980,,Penguin,,11305760,140054677,1,Collections,,91003,,,
The life and times of Maudie Littlehampton,01/01/1982,,Penguin,,11305955,140058281,1,Collections,,91007,,,
The Penguin book of political comics,01/01/1982,,Penguin,,11306045,140060359,1,Collections,,91009,,,
Maggie's farm,01/01/1981,,Penguin,,11306070,140060782,1,Collections,,91010,,,
The Penguin book of Private eye cartoons,01/01/1983,,Penguin,,11306203,140063919,1,Collections,,91011,,,
99 things a queen would (probably] never do,01/01/1987,,W.H. Allen,,11322320,352321296,1,Collections,,91015,,,
Danger on the red planet ...,01/01/1979,,Macdonald Educational,,11324001,356065405,1,Collections,,91016,,,
Death in the Arctic :with Nick Raven ... and his back-up team from SATAN,01/01/1979,,Macdonald Educational,,11324004,035606543X,1,Collections,,91021,,,
"Dan Dare, pilot of the future",01/01/1981,,Hamlyn,,11331227,600366286,1,Collections,,91027,,,
Down on the farm,01/01/1979,,Hamlyn,,11331267,600367584,1,Collections,,91029,,,
The Trigan Empire.,01/01/1978,,Hamlyn,,11331650,600387887,1,Collections,,91031,,,
Vehicles that work,01/01/1979,,Hamlyn,,11331657,600388018,1,Collections,,91032,,,
Wild west,01/01/1979,,Hamlyn,,11331822,600394492,1,Collections,,91034,,,
Laughs in the loo,01/01/1970,,Tandem,,11579625,426043944,1,Collections,,91036,,,
Amon spek.,01/01/1985,,Flying Pig Enterprises,,11810721,,1,Collections,,91042,,,
Apthorpe :my struggle as a schoolmaster,01/01/1986,,[Apthore Press],,11812246,,1,Collections,,91046,,,
Hang on!,01/01/1982,,Oxford University Press,,11940564,192731513,1,Collections,,91047,,,
Thelwell goes West.,01/01/1975,,Eyre Methuen,,11962646,413344002,1,Collections,,91050,,,
Three sheets in the wind :Thelwell's manual of sailing.,01/01/1976,,Eyre Methuen,,11962656,041334620X,1,Collections,,91051,,,
Top dog :Thelwell's complete canine compendium.,01/01/1976,,Eyre Methuen,,11962658,413346609,1,Collections,,91052,,,
Thelwell's gymkhana.,01/01/1979,,Eyre Methuen,,11963084,413463109,1,Collections,,91059,,,
Max,01/01/1979,,Eyre Methuen,,11963101,413466701,1,Collections,,91060,,,
But it's my turn to leave you _,01/01/1980,,Eyre Methuen,,11963151,413475808,1,Collections,,91061,,,
How about a little quarrel before bed? :and other diversions,01/01/1981,,Eyre Methuen,,11963223,413488306,1,Collections,,91062,,,
Help! and other ruminations,01/01/1982,,Methuen,,11963315,413506908,1,Collections,,91065,,,
A hundred and one more uses of a dead cat,01/01/1982,,Methuen,,11963363,413509001,1,Collections,,91068,,,
The man who ... and other drawings,01/01/1983,,Methuen,,11963452,413527301,1,Collections,,91070,,,
Lone thoughts from a broad :cartoons,01/01/1981,,Women's Press,,11984596,704338815,1,Collections,,91071,,,
Women draw 1984,01/01/1983,,Women's Press,,11984630,704339196,1,Collections,,91072,,,
Not academic but you can dance to it :more cartoons,01/01/1975,,NUS Publications,,12021097,900554703,1,Collections,,91074,,,
Kidstuff with Willie,01/01/1982,,ITV Books,,12022243,090072790X,1,Collections,,91077,,,
The Wild Hawthorn wonder book of boats,01/01/1975,,Wild Hawthorn Press,,12022564,900805498,1,Collections,,91078,,,
The wicked wiles of Iznogoud :an adventure of Haroun al Plassid,01/01/1978,,Egmont-Methuen,,12618194,041605000X,1,Collections,,91082,,,
"Lieutenant Blueberry, Lone Eagle",01/01/1978,,Egmont Publishing Limited :,,12618195,416050301,1,Collections,,91083,,,
"Lieutenant Blueberry, mission to Mexico",01/01/1978,,Egmont Publishing Ltd :,,12618196,416050409,1,Collections,,91085,,,
Iznogoud the infamous :an adventure of Haroun al Plassid,01/01/1977,,Egmont-Methuen,,12618215,416053807,1,Collections,,91087,,,
Frizz & friends.,01/01/1977,,Egmont Publishing Ltd :,,12618218,416054102,1,Collections,,91089,,,
Neptune's treasure,01/01/1972,,Methuen Children's Books,,12619182,416212905,1,Collections,,91091,,,
The great balloon race,01/01/1976,,Methuen,,12620440,416561608,1,Collections,,91096,,,
Tintin and the Picaros,01/01/1977,,Methuen,,12620491,416579906,1,Collections,,91097,,,
Kidnapped!,01/01/1976,,Methuen,,12620969,416830307,1,Collections,,91099,,,
"Atlantis, men and monsters : based on the work of Erich von Daniken ",01/01/1979,,Methuen,,12621124,416871607,1,Collections,,91102,,,
The war of the chariots : based on the work of Erich von Daniken,01/01/1979,,Magnet Books,,12621125,416871704,1,Collections,,91103,,,
Revolt of the Titans,01/01/1980,,Methuen Children's Books,,12621126,416871801,1,Collections,,91104,,,
Thelwell's horse sense.,01/01/1980,,Methuen,,12621186,416880509,1,Collections,,91105,,,
The official I hate cats book,01/01/1981,,Heinemann,,12628495,043447956X,1,Collections,,91111,,,
Recorder humour :cartoons,01/01/1976,,Schott & Co.,,12669215,901938572,1,Collections,,91119,,,
The British ANTpire,01/01/1980,,Abson,,12673367,902920421,1,Collections,,91120,,,
The best of Mulroy :cartoons reproduced from Plastics and Rubber Weekly.,01/01/1981,,The Plastics and Rubber Institute,,12674154,903107317,1,Collections,,91121,,,
Mac's 'Daily Mail' cartoons.,01/01/1976,,Pentagon,,12680278,904288056,1,Collections,,91122,,,
Asterix y Galiad,01/01/1976,,Gwasg y Dref Wen,,12684058,904910253,1,Collections,,91124,,,
Asterix a Cleopatra,01/01/1976,,Gwasg y Dref Wen,,12684059,904910261,1,Collections,,91125,,,
Asterix ym Mhrydain,01/01/1976,,Gwasg y Dref Wen,,12684060,090491027X,1,Collections,,91126,,,
Beasts that might have been,01/01/1974,,Ferret Fantasy Ltd,,12684718,904997006,1,Collections,,91127,,,
Men that might have been,01/01/1974,,Ferret Fantasy Ltd,,12684723,904997065,1,Collections,,91128,,,
Motor show book of humour,01/01/1978,,Gresham Books [for] the Society of Motor Manufacturers and Traders,,12688043,905418247,1,Collections,,91130,,,
Fosdyke saga,01/01/1976,,Wolfe,,5592932,723406979,1,Collections from individual artists,,91132,,,
Cartoons from the London 'Evening Standard',01/01/1973,,Beaverbrook Newspapers,,5593200,850790522,1,Collections from individual artists,,91133,,,
Love is- :cartoons from the 'Daily Mail',01/01/1976,,Associated Newspapers,,5593380,851441327,1,Collections from individual artists,,91148,,,
Love is :cartoons from the 'Daily mail',01/01/1977,,[Associated Newspapers],,5609878,,1,Collections from individual artists,,91153,,,
'Sunday express' & 'Daily express' cartoons,01/01/1977,,Beaverbrook Newspapers,,5610193,,1,Collections from individual artists,,91154,,,
Cartoons from the London 'Evening standard' & the 'Daily express',01/01/1977,,Beaverbrook Newspapers,,5611020,,1,Collections from individual artists,,91157,,,
The gambols,01/01/1981,,Express Newspapers,,5626018,850791162,1,Collections from individual artists,,91164,,,
Fosdyke saga :from the famous Daily Mirror strip,01/01/1980,,Mirror,,5626887,859392171,1,Collections from individual artists,,91168,,,
The Perishers book,01/01/1980,,Mirror,,5626888,085939235X,1,Collections from individual artists,,91169,,,
The jokes of Kevin Woodcock.,01/01/1978,,Private Eye Productions Ltd,,7061024,233970436,1,Collections from individual artists,,91172,,,
The interpretation of quantum mechanics,01/01/1973,,University of Chicago Press,,7688282,226031772,1,Collections from individual artists,,91177,,,
100 best jokes of Larry.,01/01/1974,,Private Eye Publications Ltd :,,7689326,233965629,1,Collections from individual artists,,91178,,,
100 best jokes of Honeysett.,01/01/1974,,Private Eye Publications Ltd :,,7689327,233965637,1,Collections from individual artists,,91180,,,
100 best jokes of Barry Fantoni.,01/01/1975,,'Private Eye' Productions Ltd :,,7689387,233966803,1,Collections from individual artists,,91182,,,
100 jokes of Heath again!.,01/01/1975,,'Private Eye' Productions Ltd :,,7689390,233967249,1,Collections from individual artists,,91186,,,
The jokes of ffolkes.,01/01/1976,,Private Eye Productions :,,7689392,233968334,1,Collections from individual artists,,91188,,,
That owl book,01/01/1974,,Dobson,,7689398,234770686,1,Collections from individual artists,,91190,,,
Man on holiday,01/01/1973,,Pitman,,8351334,273003208,1,Collections from individual artists,,91218,,,
Sheep clippings :sheep's eye view cartoons,01/01/1987,,Dalesman,,8791788,852069111,1,Collections from individual artists,,91244,,,
Udderwise,01/01/1988,,Farming Press,,8793705,852361769,1,Collections from individual artists,,91246,,,
Belt up :Thelwell's motoring manual.,01/01/1974,,Eyre Methuen,,9029063,413320200,1,Collections from individual artists,,91247,,,
The man who - and other drawings,01/01/1975,,Eyre Methuen,,9029070,413323609,1,Collections from individual artists,,91248,,,
The secret of the 'Unicorn',01/01/1974,,Methuen,,9029628,416800203,1,Collections from individual artists,,91253,,,
With laugh and affection,01/01/1973,,W.H. Allen,,9038194,491010702,1,Collections from individual artists,,91269,,,
More of my Wales,01/01/1973,,C. Davies,,9732053,715400991,1,Collections from individual artists,,91272,,,
The quest for the golden handshake,01/01/1984,,Fontana,,9734945,6622534,1,Collections from individual artists,,91275,,,
All the other men have mellowed,01/01/1974,,Bles,,10324246,713808500,1,Collections from individual artists,,91284,,,
Edward,01/01/1973,,Allen Lane,,10324514,713906804,1,Collections from individual artists,,91285,,,
The best of Brockbank.,01/01/1975,,David and Charles,,10326850,715369245,1,Collections from individual artists,,91286,,,
The big bite & other pictures and rhymes,01/01/1974,,Stockwell,,10334001,722306725,1,Collections from individual artists,,91287,,,
The Gambols book.,01/01/1980,,Express Newspapers,,10368797,085079093X,1,Collections from individual artists,,91290,,,
Jak cartoons for the London Evening standard & the Daily express.,01/01/1980,,Express Newspapers,,10368799,850790980,1,Collections from individual artists,,91291,,,
Oor Wullie.,01/01/1980,,D.C. Thomson,,10368906,851161995,1,Collections from individual artists,,91292,,,
Jak cartoons from the Standard (London) & the Daily express.,01/01/1984,,Express Newspapers,,10377299,850791405,1,Collections from individual artists,,91293,,,
Have a nice day,01/01/1986,,Ebury,,10378332,852235178,1,Collections from individual artists,,91294,,,
Titbits,01/01/1987,,Pacific,,10753446,086479018X,1,Collections from individual artists,,91296,,,
'Daily Mirror' book of Garth annual.,01/01/1975,,IPC Magazines,,10960457,850372046,1,Collections from individual artists,,91298,,,
Nurse!,01/01/1975,,Daily Express,,10961710,850790662,1,Collections from individual artists,,91299,,,
The Broons :selected from 'The Sunday Post'.,01/01/1973,,D.C. Thomson,,10962550,851160808,1,Collections from individual artists,,91300,,,
'Thou shalt not -' :a collection of cartoons on biblical subjects,01/01/1974,,Galliard,,10965616,852492987,1,Collections from individual artists,,91303,,,
The Broons.,01/01/1979,,D.C. Thomson,,10995543,,1,Collections from individual artists,,91306,,,
Sooty's special.,01/01/1980,,Polystyle,,10998701,,1,Collections from individual artists,,91307,,,
Andy Capp :cartoons,01/01/1981,,Mirror Books,,11003968,859392384,1,Collections from individual artists,,91309,,,
The revolting Irish,01/01/1974,,Blackstaff Press,,11595789,856400688,1,Collections from individual artists,,91311,,,
Laugh at life with Andy Capp,01/01/1982,,Mirror Books,,11632841,,1,Collections from individual artists,,91313,,,
King Dennis the Menace.,01/01/1982,,D.C. Thomson,,11632969,,1,Collections from individual artists,,91314,,,
"Bananaman, football fever.",01/01/1982,,D.C. Thomson,,11633555,,1,Collections from individual artists,,91316,,,
Minnie the Minx in Follow that star.,01/01/1982,,D.C. Thomson,,11633556,,1,Collections from individual artists,,91317,,,
Top secret picture library :holiday special.,01/01/1982,,IPC Magazines,,11634044,,1,Collections from individual artists,,91318,,,
The Bash Street kids sports day.,01/01/1982,,D.C. Thomson,,11634230,,1,Collections from individual artists,,91319,,,
Gnasher supreme champion.,01/01/1982,,D.C. Thomson,,11634231,,1,Collections from individual artists,,91320,,,
Paddington's cartoon book,01/01/1979,,Fontana,,11635914,6615058,1,Collections from individual artists,,91324,,,
The bra book :Mallet's bra book,01/01/1983,,Goodchild,,11638429,903445786,1,Collections from individual artists,,91325,,,
Fred.,01/01/1989,,Puffin,,11639996,140509658,1,Collections from individual artists,,91326,,,
Politicomics :editorial cartoons,01/01/1974,,P. Duffell,,12258101,950397504,1,Collections from individual artists,,91327,,,
Emett's ministry of transport :selected from The early morning milk train and Alarms and excursions.,01/01/1981,,Penguin,,12295924,140050523,1,Collections from individual artists,,91328,,,
The Mighty Thor and the X-men.,01/01/1983,,Marvel Comics,,12298010,,1,Collections from individual artists,,91331,,,
101 uses for the unemployed,01/01/1983,,Muller,,12299698,584110766,1,Collections from individual artists,,91332,,,
The British character,01/01/1982,,Element,,12300052,906540232,1,Collections from individual artists,,91333,,,
The jokes of David Austin.,01/01/1984,,Private eye,,12301499,233977090,1,Collections from individual artists,,91334,,,
The bus,01/01/1987,,Futura,,12635196,708882447,1,Collections from individual artists,,91336,,,
No tar! :smoking can damage your health,01/01/1988,,Hale,,12638778,709032730,1,Collections from individual artists,,91337,,,
McLachlan - the cartoons of Edward McLachlan.,01/01/1973,,Deutsch [for Private Eye Productions Ltd],,7689285,233964932,1,Collections from individual cartoonists,,91375,,,
The New York Four,01/01/2008,,Titan,,14627427,9.78E+12,1,College freshmen / New York (State) / New York / Fiction.,,91473,,,
Faker,01/01/2008,,DC Comics,,14500659,9.78E+12,1,"College students / Drug use / Comic books, strips, etc. / Fiction.",,91474,,,
The colonial heritage of French comics,01/01/2011,,Liverpool University Press,,15696319,9.78E+12,1,Colonies in literature.,,91476,,,
Cartooning in colour,01/01/2000,,Arcturus,,6958867,1841930121,1,Color drawing / Technique.,,91477,,,
Star teddy.,01/01/2003,,Prestige,,7886967,,1,Coloring books / Juvenile literature / Periodicals.,,91478,,,
My little pony.,01/01/1999,,Redan,,9907849,,1,Coloring books / Juvenile literature / Periodicals.,,91479,,,
My favourite princess stories.,01/01/2004,,Prestige Publishing,,12917074,,1,Coloring books / Juvenile literature / Periodicals.,,91480,,,
Merry go round.,01/01/2001,,Just Publishing,,9920322,,1,Coloring books / Periodicals / Juvenile literature.,,91481,,,
Let's play.,01/01/2000,,LCD Publishing,,9912558,,1,Coloring books / Periodicals.,,91482,,,
Sloth,01/01/2006,,Titan,,13527606,9.78E+12,1,"Coma patients / Comic books, strips, etc. / Fiction.",,91483,,,
Skin deep,01/01/1998,,Titan,,12029407,1852869518,1,"Combustion, Spontaneous / Comic books, strips, etc. / Fiction.",,91485,,,
The art of manga :100 of the greatest manga covers,01/01/2004,,Collins & Brown,,12976630,1843402041,1,Comic book covers / Japan.,,91487,,,
Creating the cover for your graphic novel,01/01/2012,,Franklin Watts,,16045009,9.78E+12,1,Comic book covers / Juvenile literature.,,91488,,,
Batman :cover to cover.,01/01/2005,,Titan,,13185980,1845761006,1,Comic book covers / Pictorial works.,,91489,,,
Batman in Detective comics :featuring the complete covers.,01/01/1994,,Abbeville Press,,10136031,1558598375,1,Comic book covers / United States / History.,,91490,,,
Superman in Action comics,01/01/1993,,Abbeville Press,,10135984,1558595953,1,Comic book covers / United States.,,91491,,,
Superman in Action comics.,01/01/1994,,Abbeville Press,,10135990,1558596097,1,Comic book covers / United States.,,91492,,,
Batman in Detective comics :featuring the complete covers of the first 25 years.,01/01/1993,,Abbeville Press,,10135996,1558596437,1,Comic book covers / United States.,,91493,,,
The Golden age of Superman :the greatest covers of Action comics from the '30s to the '50s,01/01/1993,,Artabras,,12014917,896600424,1,Comic book covers / United States.,,91494,,,
The Golden age of Batman :the greatest covers of Detective comics from the '30s to the '50s,01/01/1994,,Artabras,,12014918,896600467,1,Comic book covers / United States.,,91495,,,
The silver age of Superman :the greatest covers of Action comics from the '50s to the '70s,01/01/1995,,Artabras,,12014921,896600556,1,Comic book covers / United States.,,91496,,,
Cover run :the DC Comics art of Adam Hughes,01/01/2010,,Titan,,15584559,9.78E+12,1,Comic book covers / United States.,,91497,,,
Strange worlds :Baffling mysteries : Teen-age romances.,01/01/2013,,Ilex,,16229971,9.78E+12,1,Comic book covers / United States.,,91498,,,
Brian Bolland cover to cover,01/01/2011,,Titan,,15846493,9.78E+12,1,Comic book covers.,,91499,,,
Comic book culture :fanboys and true believers,01/01/1999,,University Press of Mississippi,,10756417,1578062012,1,Comic book fans / United States / History / 20th century.,,91500,,,
Absalom.,01/01/2012,,Rebellion,,16039895,9.78E+12,1,"Comic book, strips, etc.",,91501,,,
B.Ex.,01/01/2014,,,,16511268,9.78E+12,1,"Comic book, strips, etc.",,91502,,,
B.Ex.directors cut,01/01/2014,,,,16511480,9.78E+12,1,"Comic book, strips, etc.",,91503,,,
Drawing Manga girls,01/01/2005,,Grange,,13190140,184013870X,1,Comic books / Japan.,,91504,,,
Drawing Manga men,01/01/2005,,Grange,,13190141,1840138718,1,Comic books / Japan.,,91505,,,
Comic book nation :the transformation of youth culture in America,01/01/2001,,Johns Hopkins University Press,,12001410,080186514X,1,Comic books and children / United States.,,91507,,,
Proper go well high :a trains are- mint book,01/01/2008,,Blank Slate,,15339388,9.78E+12,1,"Comic books, strips, etc / England.",,91508,,,
